record_id,student_id,semester,subject_code,subject_name,credits,marks_obtained,total_marks,pass_fail
1,S00001,1,AI101,Engineering Maths I,4,60,100,Pass
2,S00001,1,AI102,Statistics & Probability,3,54,100,Pass
3,S00001,1,AI103,Python Programming,3,25,100,F
4,S00001,1,AI104,Engineering Drawing,2,89,100,Pass
5,S00001,1,AI105,Environmental Science,2,79,100,Pass
6,S00001,2,AI201,Engineering Maths II,4,46,100,Pass
7,S00001,2,AI202,Linear Algebra,4,54,100,Pass
8,S00001,2,AI203,Data Structures,3,45,100,Pass
9,S00001,2,AI204,Professional Communication,2,69,100,Pass
10,S00001,2,AI205,Constitution of India,2,75,100,Pass
11,S00001,3,AI301,DBMS,4,78,100,Pass
12,S00001,3,AI302,OOP with Python,3,64,100,Pass
13,S00001,3,AI303,Probability & Random Processes,4,54,100,Pass
14,S00001,3,AI304,Computer Vision Basics,3,63,100,Pass
15,S00001,3,AI305,Software Engineering,3,80,100,Pass
16,S00001,4,AI401,Machine Learning,4,50,100,Pass
17,S00001,4,AI402,Deep Learning Fundamentals,4,54,100,Pass
18,S00001,4,AI403,Natural Language Processing,3,57,100,Pass
19,S00001,4,AI404,Big Data Technologies,3,56,100,Pass
20,S00001,4,AI405,Web Technologies,3,73,100,Pass
21,S00001,5,AI501,Reinforcement Learning,4,55,100,Pass
22,S00001,5,AI502,Computer Vision,3,39,100,F
23,S00001,5,AI503,AI Ethics & Fairness,2,88,100,Pass
24,S00001,5,AI504,Cloud & MLOps,3,59,100,Pass
25,S00001,5,AI505,Professional Ethics,2,68,100,Pass
26,S00001,6,AI601,Generative AI,4,65,100,Pass
27,S00001,6,AI602,Time Series Analysis,3,58,100,Pass
28,S00001,6,AI603,Recommender Systems,3,57,100,Pass
29,S00001,6,AI604,Edge AI,3,29,100,F
30,S00001,6,AI605,Elective I,3,72,100,Pass
31,S00002,1,ME101,Engineering Maths I,4,67,100,Pass
32,S00002,1,ME102,Engineering Physics,3,56,100,Pass
33,S00002,1,ME103,Engineering Mechanics,4,31,100,F
34,S00002,1,ME104,Engineering Drawing,2,71,100,Pass
35,S00002,1,ME105,Environmental Science,2,74,100,Pass
36,S00002,2,ME201,Engineering Maths II,4,16,100,F
37,S00002,2,ME202,Thermodynamics,4,40,100,Pass
